xt,yt,zt
-0.83751065,-0.27425274,-0.4726111
-0.39354548,-0.3982015,-0.82858765
-0.5007431,-0.8611198,-0.08791618
-0.79069984,-0.042495977,-0.6107274
-0.55878496,-0.13256177,-0.8186494
-0.25825602,-0.085306704,-0.9623028
-0.39171863,-0.35385722,-0.84931827
-0.75986904,-0.62410045,-0.18192767
-0.6096381,-0.6946901,-0.38176832
-0.90272653,-0.18423477,-0.38877025
-0.04346643,-0.94167805,-0.333696
-0.43285698,-0.8921714,-0.12909314
-0.9754999,-0.13009426,-0.17741273
-0.9343947,-0.33206996,-0.1289806
-0.087873966,-0.80231136,-0.5904021
-0.8604533,-0.23257244,-0.4533543
-0.39081132,-0.61079323,-0.68862045
-0.6480817,-0.7505386,-0.12915814
-0.13940914,-0.23624209,-0.9616417
-0.3497759,-0.33893913,-0.8733712
-0.03974407,-0.90336096,-0.42703572
-0.40973547,-0.9082691,-0.084640265
-0.6164686,-0.72718054,-0.30195165
-0.8830079,-0.23090506,-0.4086319
-0.63261485,-0.6964182,-0.33882162
-0.38471824,-0.922088,-0.041779626
-0.5332118,-0.16903707,-0.828922
-0.3551797,-0.17194864,-0.9188477
-0.35402822,-0.5969404,-0.71994877
-0.96160716,-0.21230018,-0.17389703
-0.2069512,-0.08282494,-0.97483903
-0.081474334,-0.7092284,-0.700255
-0.7697592,-0.08001276,-0.6332999
-0.12880836,-0.5125917,-0.84891593
-0.034969144,-0.9825601,-0.18262716
-0.31707257,-0.9448505,-0.08199036
-0.73474973,-0.13253611,-0.6652646
-0.80726445,-0.5849813,-0.07823719
-0.875743,-0.48104915,-0.04081588
-0.7439917,-0.6516261,-0.14785036
-0.8970907,-0.15151103,-0.41505742
-0.083621144,-0.82897437,-0.553
-0.30492467,-0.32359293,-0.8957168
-0.91212445,-0.08343456,-0.4013322
-0.68489903,-0.7174067,-0.1274399
-0.3171961,-0.5809554,-0.7495848
-0.9986396,-0.036662605,-0.037077222
-0.12051812,-0.086474106,-0.9889376
-0.57926726,-0.7557711,-0.30538434
-0.04136556,-0.9982471,-0.04232682
-0.93780804,-0.30581528,-0.16429572
-0.2735623,-0.9583973,-0.08147533
-0.26139557,-0.29916736,-0.9176989
-0.5675699,-0.780393,-0.2623952
-0.9149207,-0.3950133,-0.08297307
-0.0874179,-0.5302768,-0.84330577
-0.7064928,-0.07866087,-0.7033352
-0.094208285,-0.21437414,-0.97219783
-0.34338525,-0.13046059,-0.9300896
-0.32332647,-0.54398346,-0.77430105
-0.076140165,-0.9126364,-0.40161863
-0.07704526,-0.9613471,-0.2643406
-0.48698843,-0.21635829,-0.84618634
-0.074265674,-0.7405839,-0.66784745
-0.18455781,-0.12639913,-0.9746598
-0.89266557,-0.07728296,-0.44404453
-0.07647313,-0.1343645,-0.9879768
-0.6986179,-0.6964772,-0.16386788
-0.030717801,-0.56601083,-0.82382536
-0.9896903,-0.08154297,-0.11774523
