xt,yt,zt
-0.5034769,-0.6051564,-0.6166821
-0.5381279,-0.6126587,-0.5788504
-0.49651954,-0.6438215,-0.5822047
-0.53026533,-0.65066266,-0.5435594
-0.48831457,-0.6808398,-0.5458993
-0.35464385,-0.5586693,-0.74974424
-0.52163434,-0.6864901,-0.5065856
-0.47865254,-0.7159046,-0.5083035
-0.5630828,-0.65477407,-0.5041911
-0.5881539,-0.49770778,-0.63746524
-0.6222316,-0.5042682,-0.5987834
-0.18012042,-0.3517967,-0.9185836
-0.47723714,-0.46941143,-0.7428981
-0.5115245,-0.7206344,-0.4680051
-0.46754998,-0.7490029,-0.469459
-0.62540984,-0.4619591,-0.6288532
-0.6587104,-0.46797225,-0.5891542
-0.44482762,-0.7093816,-0.5467233
-0.35349953,-0.4276188,-0.83197373
-0.4997714,-0.75282323,-0.42835242
-0.45513996,-0.7801489,-0.42920294
-0.6609557,-0.42492235,-0.6185295
-0.6934094,-0.43048874,-0.57780874
-0.69023573,-0.47303945,-0.5475476
-0.72392845,-0.4349399,-0.535495
-0.71989024,-0.47669923,-0.50449574
-0.7525424,-0.4380267,-0.49174437
-0.7475497,-0.47911,-0.46002516
-0.7791352,-0.43979555,-0.4466858
-0.77301186,-0.48043334,-0.41429046
-0.8035527,-0.44030273,-0.40054515
-0.80865586,-0.39923248,-0.43207544
-0.83201534,-0.39889905,-0.38552567
-0.726004,-0.39205104,-0.56499046
-0.486796,-0.7827979,-0.38763025
-0.44150934,-0.8091337,-0.3877783
-0.53048164,-0.7545735,-0.38627473
-0.40928194,-0.8053515,-0.42883253
-0.39502278,-0.8332199,-0.386913
-0.79640657,-0.48029983,-0.3674895
-0.7647038,-0.51980555,-0.3808285
-0.36221647,-0.82830065,-0.42745456
-0.3474563,-0.8550383,-0.38494632
-0.83598953,-0.35745,-0.41635448
-0.85822564,-0.3565884,-0.3691795
-0.42669064,-0.83582485,-0.34544474
-0.78701746,-0.5189613,-0.33359042
-0.7542095,-0.55782485,-0.3464093
-0.3142037,-0.8489458,-0.42493188
-0.29897833,-0.8745285,-0.3818532
-0.8609033,-0.314994,-0.39952984
-0.8819978,-0.31355754,-0.35179755
-0.8780646,-0.35514593,-0.32073975
-0.9006422,-0.3114368,-0.30306873
-0.626726,-0.41814926,-0.65754527
-0.83753896,-0.31605735,-0.4456864
-0.32845613,-0.8210736,-0.4668562
-0.7753005,-0.5562323,-0.29919013
-0.74158514,-0.5943007,-0.31122056
-0.8068623,-0.51688236,-0.28601736
-0.2800263,-0.8405636,-0.463722
-0.29387814,-0.8115561,-0.5049875
-0.21791178,-0.51081306,-0.83161557
-0.8954779,-0.35279858,-0.27138957
-0.9167068,-0.30871245,-0.2536639
-0.8834548,-0.27220836,-0.38132697
-0.9208016,-0.26679623,-0.28450662
-0.76130664,-0.59221935,-0.26398593
-0.72685075,-0.62928784,-0.27510878
-0.70596087,-0.6305208,-0.3225875
-0.6904742,-0.66450477,-0.28579515
-0.43124977,-0.583886,-0.68782324
-0.51650697,-0.78345764,-0.34556416
-0.731018,-0.5577376,-0.39311755
-0.33177823,-0.8794235,-0.34137592
-0.28289524,-0.8977094,-0.3377692
-0.31528047,-0.9013846,-0.2968232
-0.26597962,-0.9184521,-0.29274675
-0.24979913,-0.8916364,-0.37760428
-0.6614824,-0.38046497,-0.64628744
-0.62624454,-0.37323558,-0.6844801
-0.66018623,-0.3351283,-0.67219275
-0.624065,-0.32731003,-0.7095147
-0.65700287,-0.28880265,-0.6963766
-0.6200791,-0.28056183,-0.7326574
-0.26892453,-0.39109772,-0.880183
-0.6922541,-0.29612842,-0.65809727
-0.5863215,-0.3186179,-0.7447884
-0.5815881,-0.27156615,-0.7668162
-0.54702455,-0.3092622,-0.7778953
-0.54116064,-0.26148763,-0.7992305
-0.6880668,-0.24941847,-0.68143564
-0.7222903,-0.25642085,-0.6422967
-0.50615364,-0.29930896,-0.8088403
-0.49894536,-0.25411558,-0.8285402
-0.29796132,-0.9208812,-0.25139007
-0.24826595,-0.93668365,-0.2469571
-0.34686622,-0.90256506,-0.25506905
-0.24501492,-0.8299329,-0.5011776
-0.25852025,-0.79977703,-0.54177845
-0.93570614,-0.26359367,-0.23446196
-0.46394682,-0.2880508,-0.83772314
-0.45586348,-0.24191451,-0.85654294
-0.4207359,-0.27615416,-0.8641298
-0.41346204,-0.2276796,-0.88159585
-0.6143979,-0.23305286,-0.75379145
-0.7100175,-0.6628737,-0.23764177
-0.6725822,-0.6970073,-0.24862406
-0.21592899,-0.93300974,-0.2878671
-0.93837446,-0.22132625,-0.26545817
-0.9515264,-0.21784922,-0.21711525
-0.37594008,-0.2639272,-0.88826317
-0.36740226,-0.21635649,-0.9045471
-0.68532866,-0.5138048,-0.516071
-0.32977086,-0.25142434,-0.90996534
-0.31971684,-0.20336741,-0.9254311
-0.32913303,-0.9207863,-0.20934157
-0.37749085,-0.90123016,-0.21280271
-0.91010386,-0.34986585,-0.22204714
-0.52953553,-0.21324357,-0.8210478
-0.669312,-0.6645808,-0.33219543
-0.2779199,-0.24601407,-0.9285675
-0.27401668,-0.1883476,-0.9431013
-0.23229082,-0.22584341,-0.9460633
-0.7171226,-0.20948815,-0.66471785
-0.75040776,-0.2161933,-0.6246187
