xa,ya,za
3.061515884555943e-17,-7.498303609110687e-33,0.5
0.0,0.5,0.0
0.5,-6.123031769111886e-17,1.059691071871038e-14
0.0,0.4993147673772869,0.02616797812147197
0.0,0.4972609476841367,0.05226423163382649
0.0,0.4938441702975689,0.07821723252011534
0.0,0.4890738003669029,0.1039558454088793
0.0,0.4829629131445342,0.1294095225512601
0.0,0.4755282581475769,0.1545084971874732
0.0,0.466790213248601,0.1791839747726498
0.0,0.4567727288213005,0.2033683215378999
0.0,0.4455032620941842,0.2269952498697729
0.0,0.4330127018922195,0.2499999999999997
0.0,0.4193352839727124,0.2723195175075129
0.0,0.4045084971874741,0.2938926261462361
0.0,0.388572980728486,0.3146601955249181
0.0,0.3715724127386976,0.3345653031794286
0.0,0.3535533905932745,0.3535533905932731
0.0,0.3345653031794297,0.3715724127386966
0.0,0.3146601955249193,0.388572980728485
0.0,0.293892626146237,0.4045084971874734
0.0,0.2723195175075139,0.4193352839727118
0.0,0.2500000000000006,0.433012701892219
0.0,0.2269952498697739,0.4455032620941837
0.0,0.2033683215379005,0.4567727288213003
0.0,0.1791839747726504,0.4667902132486008
0.0,0.1545084971874743,0.4755282581475766
0.0,0.1294095225512608,0.482962913144534
0.0,0.1039558454088799,0.4890738003669028
0.0,0.07821723252011555,0.4938441702975688
0.0,0.05226423163382715,0.4972609476841366
0.0,0.02616797812147218,0.4993147673772869
0.4993147673772864,-1.222928073375134e-16,0.02616797812148214
0.4972609476841356,-1.217897832083459e-16,0.05226423163383662
0.4938441702975674,-1.209529417489082e-16,0.07821723252012452
0.489073800366901,-1.197845766834728e-16,0.1039558454088884
0.4829629131445319,-1.182878904194717e-16,0.1294095225512687
0.4755282581475742,-1.164669852699214e-16,0.1545084971874816
0.4667902132485982,-1.143268522092671e-16,0.1791839747726572
0.4567727288212975,-1.118733571934693e-16,0.2033683215379067
0.4455032620941808,-1.091132250818259e-16,0.2269952498697796
0.433012701892216,-1.060540212046005e-16,0.2500000000000058
0.4193352839727085,-1.02704130626978e-16,0.2723195175075189
0.4045084971874701,-9.907273516618342e-17,0.2938926261462415
0.3885729807284821,-9.516978822475986e-17,0.3146601955249229
0.3715724127386937,-9.100598750898304e-17,0.3345653031794328
0.3535533905932704,-8.659274570719273e-17,0.3535533905932771
0.3345653031794258,-8.194215920840696e-17,0.3715724127387001
0.3146601955249155,-7.706697494696061e-17,0.3885729807284881
0.2938926261462335,-7.198055546404441e-17,0.404508497187476
0.2723195175075105,-6.66968422819083e-17,0.419335283972714
0.2499999999999972,-6.123031769111817e-17,0.433012701892221
0.2269952498697708,-5.559596505560389e-17,0.4455032620941853
0.2033683215378977,-4.980922774430034e-17,0.4567727288213015
0.1791839747726483,-4.388596680194674e-17,0.4667902132486015
0.1545084971874722,-3.784241747506507e-17,0.4755282581475773
0.1294095225512591,-3.169514471227842e-17,0.4829629131445345
0.1039558454088787,-2.546099776093792e-17,0.489073800366903
0.0782172325201147,-1.915706398450695e-17,0.493844170297569
0.0522642316338263,-1.280062202728563e-17,0.4972609476841367
0.02616797812147177,-6.409094454847857e-18,0.499314767377287
0.4993147673772869,0.02616797812147195,0.0
0.4972609476841366,0.0522642316338268,0.0
0.4938441702975688,0.07821723252011552,0.0
0.4890738003669028,0.1039558454088798,0.0
0.4829629131445341,0.1294095225512606,0.0
0.4755282581475767,0.1545084971874739,0.0
0.4667902132486008,0.1791839747726504,0.0
0.4567727288213003,0.2033683215379004,0.0
0.4455032620941838,0.2269952498697737,0.0
0.4330127018922192,0.2500000000000003,0.0
0.4193352839727119,0.2723195175075138,0.0
0.4045084971874736,0.2938926261462367,0.0
0.3885729807284853,0.3146601955249189,0.0
0.371572412738697,0.3345653031794292,0.0
0.3535533905932737,0.3535533905932738,0.0
0.334565303179429,0.3715724127386972,0.0
0.3146601955249186,0.3885729807284856,0.0
0.2938926261462364,0.4045084971874738,0.0
0.2723195175075133,0.4193352839727121,0.0
0.2499999999999998,0.4330127018922195,0.0
0.2269952498697732,0.445503262094184,0.0
0.2033683215378999,0.4567727288213005,0.0
0.17918397477265,0.4667902132486009,0.0
0.1545084971874736,0.4755282581475768,0.0
0.1294095225512603,0.4829629131445342,0.0
0.1039558454088796,0.4890738003669028,0.0
0.07821723252011535,0.4938441702975689,0.0
0.05226423163382684,0.4972609476841366,0.0
0.02616797812147198,0.4993147673772869,0.0
0.02082415990437907,0.3626247195867155,0.3436126701810234
0.3623142913821044,0.3438234245360276,0.02266731127862361
0.3438234245360203,0.02266731127864016,0.3623142913821104
0.304076184174726,0.3962737349706058,0.02246778115845528
0.02193321036474394,0.4109030519589738,0.2840380540946877
0.4249065276123021,0.0230960559663749,0.2625281222864591
0.02234935531457433,0.2631979192511562,0.4245319323901146
0.425351455572515,0.261898562744547,0.02202911879044332
0.2616250455125439,0.02276852483689852,0.4254808219383229
0.2156295559442453,0.4506043819695547,0.02143794656965087
0.462068033843528,0.1897929101142868,0.02172057481574932
0.02086663481681845,0.4616380948920515,0.1909315398142977
0.02266731127871214,0.1667318291008646,0.4708361606377255
0.1915936966134029,0.02310292786447699,0.4612570976604047
0.4708361606377224,0.02266731127871419,0.1667318291008731
0.1437837609093388,0.4783954222840133,0.02154182063955214
0.4856902173535861,0.1165857313693211,0.0226446463453674
0.1166026743733074,0.02266731127871398,0.4856850927590699
0.02314268659626216,0.4858814765296831,0.1156875396161671
0.4911219906830319,0.02266731127871444,0.09102408069807622
0.02438221827347353,0.09199315100174607,0.4908592136252865
0.0224816261002553,0.3250324159231414,0.3792736546176841
0.3798120799396543,0.02266731127871445,0.3243901615821718
0.3040677677434947,0.02266731127871466,0.3962688299865156
0.4508286490116296,0.02266731127871464,0.2150342350179218
0.02266731127860619,0.2150342350184521,0.450828649011382
0.3963134979587739,0.304100490549607,0.02141268276441282
0.2609933891377154,0.425901412048555,0.02214583575880463
0.09102408069806722,0.4911219906830334,0.0226673112787149
0.02266731127875825,0.03918921429703896,0.4979461803068406
0.02149381535242029,0.4405689747049876,0.2354506199375827
0.4951960201618852,0.06538803980602241,0.02247900945672979
0.02458819506015402,0.4948324195786343,0.06735203929828885
0.07019435415747924,0.02396012509077128,0.4944680627199789
0.4976546018477592,0.02498672365177756,0.04141933003922162
0.03834635221496988,0.4980378030477806,0.02208854923134533
0.02265176824733441,0.1911204070123256,0.4614757712152525
0.04528800412020434,0.2025078192440183,0.4549061219942422
0.04525695002265302,0.2261353376245652,0.4436379352040028
0.06781555596385752,0.2133150001707559,0.4470992742909156
0.06776905466885123,0.189402351048298,0.4577489537362893
0.09020363580758035,0.1999333876851509,0.4493216493513667
0.09014178294957323,0.2235626713597108,0.438057291847975
0.1124061994908765,0.2098906665725802,0.4396711889602675
0.1122054589772847,0.2332227302147024,0.4278049708534217
0.1343158587454468,0.2192468814687391,0.4288240374042783
0.1339460779508427,0.2422686855721934,0.4163704266548099
0.1558725298414621,0.2279763744534611,0.4168099412584563
0.1555085846168871,0.2551067359549576,0.4009209814674957
0.177212050060204,0.2373606862328043,0.4028098731964647
0.1768715252280361,0.2589239295606298,0.3894545702189027
0.1976915748212176,0.2434612220795351,0.3894158119391741
0.1966387986827834,0.2654826836027113,0.3753027145647823
0.2181549368968499,0.2506587922930849,0.3736021859594823
0.216698513180015,0.2720351718670362,0.3592194589006043
0.2376635163507887,0.2565157779738208,0.3573733463008453
0.2357566907295089,0.2774812785433091,0.342670282975109
0.2564051510371934,0.2615396576611363,0.3403724518701384
0.2544863251285263,0.2824813128811698,0.3247168277060932
0.2746432627542058,0.266046662790778,0.3221649444641896
0.2723212837934945,0.2865965922175426,0.30611029339497
0.2920819589588965,0.2697557669912722,0.3031830394756341
0.2516398024466728,0.3025552325304294,0.3084440647719734
0.2691602531522678,0.3063061817514148,0.2893601236243107
0.2482140498787544,0.3219039279856489,0.2911488392389662
0.2652811934275665,0.325452190178736,0.2714898899066223
0.2440813599269606,0.3403781208980372,0.2730696331526571
0.1749122666769048,0.2800830291663824,0.3754453298936221
0.260897707044464,0.34324189977614,0.2532141084082941
0.2392530658312861,0.357927148753729,0.2542560258388309
0.2814697250409167,0.3272221483700258,0.252389499586444
0.2941047848378417,0.2488849668885574,0.3186826772706175
0.3111445599896202,0.2522485960144091,0.2992652813101198
0.09004881224561313,0.1757537700778172,0.45934934822702
0.2386335234847074,0.2345075322237506,0.3715646091860743
0.2558188295057183,0.3603134159696096,0.2339465082933176
0.2337666758246371,0.3745321495658447,0.2346887517873124
0.3126893672973985,0.2309774006195567,0.3144436356204167
0.3293644187894139,0.2340664861898823,0.2945029026652085
0.2224148165328742,0.354771373325583,0.2732561473330979
0.1772624446457606,0.2136026790496801,0.4158748864995433
0.2498801708826567,0.3763820085558672,0.2142346466730005
0.2275644997719639,0.3900598768003785,0.2146338532338488
0.3304689682183679,0.2124764090446169,0.3092637008188838
0.3466915703149642,0.2152592990404901,0.2889089636012374
0.3451234476119649,0.2365412723767083,0.2737481184790851
0.3620198747753891,0.2174686335839321,0.2676733152085749
0.359923237153641,0.2383949724754635,0.2522361997320505
0.3762810011457998,0.21896542815123,0.2458998768833835
0.3737573765674138,0.2396236190453025,0.2299694428768226
0.3895666856072239,0.2198785038008593,0.2233634729119735
0.3864854960495935,0.2402204976764767,0.2071788450575142
0.401796839381649,0.2201610074364468,0.2002209546163592
0.4043353890009436,0.1995172773729675,0.2161151295748032
0.4160127759003652,0.1995120065643222,0.1926871285902368
