xb_t,yb_t,zb_t,xt,yt,zt
0.3174061437764167,0.01066954239408562,0.08666666666666667,0.04386204481124878,0.9990376234054565,0.0
0.4231343283725131,0.005243147704171655,0.3466666666666667,0.05837877839803696,0.9982945322990417,0.0
0.2023433351164043,0.01446555889217266,0.2933333333333333,0.019302453845739365,0.9998137354850769,0.0
0.1403635420116693,0.01498269818436964,0.5866666666666667,-0.004444494843482971,0.9999901652336121,0.0
0.1665239276054157,0.01494736373041719,0.66,0.006928100250661373,0.9999759793281555,0.0
0.1006062757905362,0.0143621585550566,0.5666666666666667,-0.02864757925271988,0.9995896220207214,0.0
0.001938592788506745,0.002066640433036111,0.5133333333333333,-0.6598626375198364,0.751386284828186,0.0
0.08360763609512023,0.01376639299927757,0.7266666666666667,-0.042457882314920425,0.9990982413291931,0.0
0.4183355734181042,0.005522331207398173,0.04666666666666667,0.057782139629125595,0.9983291625976562,0.0
0.3859446232548404,0.007324840634543438,0.4,0.053398698568344116,0.998573362827301,0.0
0.4349230635664786,0.004543601892265997,0.9333333333333333,0.060042086988687515,0.9981958270072937,0.0
0.49375,0.0007399999999999996,0.8,0.06784331798553467,0.9976959228515625,0.0
0.2430250126818152,0.01345417863684153,0.3933333333333333,0.029968101531267166,0.9995509386062622,0.0
0.09184664796315946,0.01408581551919872,0.86,-0.03487343713641167,0.9993917346000671,0.0
0.2229898489463952,0.01400650849074916,0.9333333333333333,0.025035498663783073,0.999686598777771,0.0
0.4707233244782099,0.002296148712996983,0.6466666666666666,0.06524843722581863,0.9978690147399902,0.0
0.05527529103542889,0.01212911808055398,0.2666666666666667,-0.07630910724401474,0.9970841407775879,0.0
0.4110467389142467,0.005940304086779129,0.4466666666666667,0.056698061525821686,0.9983913898468018,0.0
0.4395565333129295,0.004263250360661108,0.8533333333333334,0.060725465416908264,0.9981545209884644,0.0
0.3203155348544872,0.01054115535650971,0.46,0.044305697083473206,0.9990180730819702,0.0
0.1479313813762675,0.01500382109377458,0.09333333333333334,-0.0010483268415555358,0.9999994039535522,0.0
0.4183355734181042,0.005522331207398173,0.5866666666666667,0.057748980820178986,0.9983311891555786,0.0
0.4598423244149021,0.002999172278504974,0.5133333333333333,0.06369628757238388,0.9979693293571472,0.0
0.2161765053725568,0.01417100420273847,0.6,0.023216528818011284,0.9997304081916809,0.0
0.4325888689334636,0.004683673024277813,0.02666666666666667,0.05970233306288719,0.9982162714004517,0.0
0.4325888689334636,0.004683673024277813,0.9333333333333333,0.05970233306288719,0.9982162714004517,0.0
0.0009061735767950278,0.001064722955114475,0.3,-0.7344446182250977,0.678668737411499,0.0
0.04921792768622848,0.01163820281918356,0.1266666666666667,-0.08577948063611984,0.9963141679763794,0.0
0.1099188311353945,0.01459243406848979,0.88,-0.02162264846265316,0.9997661709785461,0.0
0.1988415290377685,0.01453136786999635,0.9733333333333334,0.018261021003127098,0.9998332262039185,0.0
0.07215908143162554,0.01321622861434639,0.04666666666666667,-0.05422979220747948,0.9985284209251404,0.0
0.4975,0.0004849999999999998,0.07333333333333333,0.06784331798553467,0.9976959228515625,0.0
0.07215908143162554,0.01321622861434639,0.6933333333333334,-0.05355069041252136,0.998565137386322,0.0
0.3729144003044829,0.008010236798966815,0.4333333333333333,0.051690008491277695,0.9986631274223328,0.0
0.4531817282716029,0.003420864078978696,0.28,0.06269703060388565,0.9980325698852539,0.0
0.4486854094513163,0.003701843435182584,0.1,0.06204163283109665,0.9980736374855042,0.0
0.2528189871588276,0.01314966520956734,0.14,0.03215561807155609,0.9994829297065735,0.0
0.4728670171738458,0.002155564503190588,0.7133333333333334,0.06557609140872955,0.9978475570678711,0.0
0.2092945605397177,0.01432431545006683,0.8,0.021306326612830162,0.9997729659080505,0.0
0.005787204408179481,0.00453195948054921,0.58,-0.4159109890460968,0.9094052910804749,0.0
0.3085900491609768,0.01105058180303105,0.28,0.042489226907491684,0.9990969896316528,0.0
0.2874967197587609,0.01191133433109486,0.8466666666666667,0.03898395225405693,0.9992398619651794,0.0
0.475,0.002015,0.2133333333333333,0.06694956123828888,0.9977563619613647,0.0
0.49,0.0009949999999999994,0.38,0.06784332543611526,0.997696042060852,0.0
0.1006062757905362,0.0143621585550566,0.3133333333333334,-0.0280762892216444,0.9996058344841003,0.0
0.09184664796315946,0.01408581551919872,0.9133333333333333,-0.03487343713641167,0.9993917346000671,0.0
0.4486854094513163,0.003701843435182584,0.5466666666666666,0.062074463814496994,0.9980714917182922,0.0
0.4325888689334636,0.004683673024277813,0.1466666666666667,0.05970233306288719,0.9982162714004517,0.0
0.47625,0.00193,0.2066666666666667,0.06784331798553467,0.9976959228515625,0.0
0.3859446232548404,0.007324840634543438,0.82,0.053398698568344116,0.998573362827301,0.0
0.4825,0.001505,0.7733333333333333,0.06784332543611526,0.997696042060852,0.0
0.02188308974271713,0.008373593985938307,0.5266666666666666,-0.1703955978155136,0.985375702381134,0.0
0.4875,0.001164999999999999,0.7,0.06784331798553467,0.9976959228515625,0.0
0.02188308974271713,0.008373593985938307,0.09333333333333334,-0.169654980301857,0.9855035543441772,0.0
0.4875,0.001164999999999999,0.1733333333333333,0.06784332543611526,0.997696042060852,0.0
0.1099188311353945,0.01459243406848979,0.4466666666666667,-0.022123990580439568,0.9997552037239075,0.0
0.02188308974271713,0.008373593985938307,0.5066666666666667,-0.1696549952030182,0.985503613948822,0.0
0.03817293368415396,0.010572926277859,0.24,-0.10706070810556412,0.9942525029182434,0.0
0.2023433351164043,0.01446555889217266,0.36,0.019302453845739365,0.9998137354850769,0.0
0.3513756422536126,0.009092981566040463,0.74,0.04875270649790764,0.998810887336731,0.0
0.1147930839992219,0.01469051703796037,0.07333333333333333,-0.018742144107818604,0.9998243451118469,0.0
0.01409425474986475,0.0068776994430674,0.5533333333333333,-0.20654918253421783,0.9784362316131592,0.0
